threshold,cv_mean_total_return,cv_std_total_return,cv_mean_dd,cv_mean_trades,cv_mean_winrate,cv_mean_exposure
0.05,34.02383429823359,13.29033670922289,1.7262056779077284,68.0,55.081255141353914,34.49101796407185
0.1,20.73813816535246,8.934751160355464,1.4897804029408235,46.0,53.99531529537616,22.934131736526943
0.15,14.18888423992754,5.8229055338377504,1.370677169415977,35.6,53.8940059611791,17.06586826347305
0.2,12.784307005773261,6.443096526286279,1.311395011035974,31.2,55.28175051818353,15.449101796407186
0.25,11.887309561630627,7.082799829452703,1.1922917775111186,28.8,56.70880918987511,14.431137724550899
0.3,9.559017572399892,7.435899261025581,1.192291777511112,26.4,52.2175584010768,13.353293413173654
0.35,8.877934944426746,8.564820374718048,1.3108630609809069,24.4,50.798388544305055,12.275449101796408
0.4,8.440807306076351,8.752358785129461,1.192650159131119,23.2,49.34455713319811,11.916167664670658
0.45,7.962480592485912,8.95669212219076,1.192650159131119,23.0,46.76879955744053,11.856287425149702
0.5,7.94040455958085,8.93581033595586,1.1926501591311165,22.2,47.87580235856098,11.437125748502995
0.55,7.808983871572517,9.144218626183878,1.1926501591311145,21.8,47.63375455129578,11.377245508982037
0.6,7.657146966949834,9.12034716891863,1.133009619131111,21.4,47.973192890734126,10.658682634730539
0.65,7.038300332314025,9.364762772544498,1.133009619131111,20.8,45.48485996761859,10.29940119760479
0.7,6.958669815155747,9.415455815603416,1.133009619131111,20.2,44.125552608311224,10.0
0.75,6.443102635627912,9.56021186036456,1.0731896191311097,18.4,46.245210727969344,9.341317365269461
0.8,6.444576004929968,8.746877374497215,1.0133696191311083,18.2,50.34482758620689,9.101796407185628
0.85,5.841024988718111,8.496966662150605,0.836052934109146,16.6,43.98496240601504,8.383233532934131
0.9,5.985467526021606,9.00230794096776,0.5983826983800045,15.4,39.31216931216931,7.904191616766468
0.95,4.53418613265451,7.299415915249855,0.5983826983800045,13.6,29.272727272727273,6.826347305389222
